bookId,eid,location_name,category_name,fromDate,toDate,created,status
cs_0nQ3YJTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-08,2022-01-08T17:45:00+11:00,2022-01-05T16:04:51+11:00,Confirmed
cs_0nQ53YhX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-15,2021-12-15T16:00:00+11:00,2021-12-10T13:27:07+11:00,Confirmed
cs_0nQ70WTX,44160,StartSpace ,Meeting Rooms,2022-02-14,2022-02-14T13:45:00+11:00,2022-02-14T13:28:11+11:00,Confirmed
cs_0nQ7OBfX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-19,2022-02-19T17:45:00+11:00,2022-02-14T13:57:11+11:00,Confirmed
cs_0nQ9p9SX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-10,2021-12-10T13:00:00+11:00,2021-12-09T10:28:34+11:00,Confirmed
cs_0nQAAnTX,43852,Information Centre,Meeting Rooms,2022-02-16,2022-02-16T12:45:00+11:00,2022-02-10T21:54:29+11:00,Confirmed
cs_0nQAvzHX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-11,2022-02-11T16:00:00+11:00,2022-02-10T10:56:57+11:00,Confirmed
cs_0nQDDphX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-12,2022-01-12T13:00:00+11:00,2022-01-12T11:11:59+11:00,Confirmed
cs_0nQJJnTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-21,2021-11-21T17:45:00+11:00,2021-11-16T16:02:46+11:00,Confirmed
cs_0nQRQaCX,43476,Information Centre,Meeting Rooms,2021-12-16,2021-12-16T14:45:00+11:00,2021-12-15T08:06:11+11:00,Confirmed
cs_0nQVJDio,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-21,2021-12-21T13:00:00+11:00,2021-12-19T11:29:26+11:00,Confirmed
cs_0nQVJDio,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-21,2021-12-21T16:00:00+11:00,2021-12-19T11:29:26+11:00,Confirmed
cs_0nQW4yUo,44160,StartSpace ,Meeting Rooms,2021-12-01,2021-12-01T12:45:00+11:00,2021-11-30T14:53:03+11:00,Cancelled by User
cs_0nQW4yUo,44160,StartSpace ,Meeting Rooms,2021-12-01,2021-12-01T13:45:00+11:00,2021-11-30T14:53:03+11:00,Cancelled by User
cs_0nQZMaCX,43476,Information Centre,Meeting Rooms,2021-12-01,2021-12-01T14:45:00+11:00,2021-12-01T13:21:25+11:00,Confirmed
cs_0nQZQWSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-15,2021-12-15T16:00:00+11:00,2021-12-02T14:10:22+11:00,Confirmed
cs_0nQba9fX,44007,Information Centre,Meeting Rooms,2021-12-02,2021-12-02T14:45:00+11:00,2021-11-29T11:32:47+11:00,Confirmed
cs_0nQekWTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-10,2022-02-10T13:00:00+11:00,2022-02-08T11:15:20+11:00,Confirmed
cs_0nQnOnCX,43852,Information Centre,Meeting Rooms,2021-11-12,2021-11-12T16:45:00+11:00,2021-11-12T12:25:45+11:00,Confirmed
cs_0nQnlzHX,43476,Information Centre,Meeting Rooms,2021-11-16,2021-11-16T13:45:00+11:00,2021-11-12T10:03:42+11:00,Confirmed
cs_0nQo1yUo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-17,2021-11-17T16:00:00+11:00,2021-11-13T11:26:15+11:00,Confirmed
cs_0nQo1yUo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-18,2021-11-18T16:00:00+11:00,2021-11-13T11:26:15+11:00,Cancelled by User
cs_0nQp7VtX,44007,Information Centre,Meeting Rooms,2022-02-07,2022-02-07T15:45:00+11:00,2022-02-07T13:52:54+11:00,Confirmed
cs_0nQpq7Fg,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-07,2022-02-07T16:00:00+11:00,2022-02-06T15:12:23+11:00,Confirmed
cs_0nQpq7Fg,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-08,2022-02-08T16:00:00+11:00,2022-02-06T15:12:23+11:00,Confirmed
cs_0nQpq7Fg,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-09,2022-02-09T16:00:00+11:00,2022-02-06T15:12:23+11:00,Confirmed
cs_0nQpq7Fg,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-10,2022-02-10T16:00:00+11:00,2022-02-06T15:12:23+11:00,Confirmed
cs_0nQqRnCX,44006,Information Centre,Meeting Rooms,2021-12-20,2021-12-20T12:45:00+11:00,2021-12-16T19:37:41+11:00,Cancelled by User
cs_0nQyAYHX,44007,Information Centre,Meeting Rooms,2021-11-11,2021-11-11T15:45:00+11:00,2021-11-11T14:57:18+11:00,Confirmed
cs_0nQzyatX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-24,2021-11-24T13:00:00+11:00,2021-11-22T12:22:06+11:00,Confirmed
cs_0na3m9fX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-07,2021-07-07T17:45:00+10:00,2021-07-05T16:45:57+10:00,Confirmed
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-28,2021-06-28T13:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-28,2021-06-28T17:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-29,2021-06-29T13:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-29,2021-06-29T17:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-30,2021-06-30T13:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0na50Du1,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-06-30,2021-06-30T17:45:00+10:00,2021-06-25T13:26:14+10:00,Cancelled by Admin
cs_0naDqzSX,47600,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-09,2021-07-09T13:45:00+10:00,2021-07-09T12:00:29+10:00,Confirmed
cs_0naNJphX,44006,Information Centre,Meeting Rooms,2021-07-31,2021-07-31T15:45:00+10:00,2021-07-25T19:50:58+10:00,Confirmed
cs_0naQmWSX,43852,Information Centre,Meeting Rooms,2021-07-30,2021-07-30T15:45:00+10:00,2021-07-30T09:37:49+10:00,Confirmed
cs_0naR1YhX,44007,Information Centre,Meeting Rooms,2021-06-30,2021-06-30T13:45:00+10:00,2021-06-27T17:05:14+10:00,Confirmed
cs_0naRYVSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-01,2021-07-01T17:45:00+10:00,2021-06-28T15:54:56+10:00,Confirmed
cs_0naV8WTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-04,2021-07-04T17:45:00+10:00,2021-07-02T17:39:12+10:00,Confirmed
cs_0naVR9SX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-04,2021-07-04T13:45:00+10:00,2021-07-01T14:24:12+10:00,Confirmed
cs_0naeqJTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-08-02,2021-08-02T17:45:00+10:00,2021-08-02T10:53:59+10:00,Confirmed
cs_0nalN9fX,43476,Information Centre,Meeting Rooms,2021-07-08,2021-07-08T14:45:00+10:00,2021-07-07T18:50:47+10:00,Confirmed
cs_0napjphX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-08-03,2021-08-03T13:45:00+10:00,2021-07-30T17:05:27+10:00,Confirmed
cs_0naq2WTX,44007,Information Centre,Meeting Rooms,2021-07-03,2021-07-03T16:45:00+10:00,2021-06-28T21:39:31+10:00,Confirmed
cs_0naq69fX,44006,Information Centre,Meeting Rooms,2021-07-02,2021-07-02T12:45:00+10:00,2021-06-30T13:15:14+10:00,Confirmed
cs_0naqAktX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-07-02,2021-07-02T13:45:00+10:00,2021-06-30T14:39:36+10:00,Cancelled by Admin
cs_0ng0pYhX,47647,Information Centre,Studio 4,2021-05-05,2021-05-05T12:30:00+10:00,2021-05-05T09:45:00+10:00,Cancelled by Admin
cs_0ng19atX,44007,Information Centre,Meeting Rooms,2021-04-23,2021-04-23T16:45:00+10:00,2021-04-23T15:07:20+10:00,Confirmed
cs_0ng1VnTX,43852,Information Centre,Meeting Rooms,2021-04-24,2021-04-24T10:45:00+10:00,2021-04-23T16:08:41+10:00,Cancelled by Admin
cs_0ng4eatX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-07,2021-05-07T13:45:00+10:00,2021-05-04T16:16:53+10:00,Cancelled by Admin
cs_0ng9NnTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-30,2021-04-30T14:00:00+10:00,2021-04-28T11:19:24+10:00,Confirmed
cs_0ng9dWSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-30,2021-04-30T13:45:00+10:00,2021-04-28T11:37:31+10:00,Cancelled by Admin
cs_0ngA7aCX,43476,Information Centre,Meeting Rooms,2021-05-12,2021-05-12T10:45:00+10:00,2021-05-12T10:22:56+10:00,Confirmed
cs_0ngKRnCX,44007,Information Centre,Meeting Rooms,2021-04-27,2021-04-27T13:45:00+10:00,2021-04-27T09:38:17+10:00,Confirmed
cs_0ngMn9SX,44006,Information Centre,Meeting Rooms,2021-04-21,2021-04-21T15:45:00+10:00,2021-04-20T21:54:53+10:00,Confirmed
cs_0ngVVYHX,44160,StartSpace ,Meeting Rooms,2021-04-30,2021-04-30T16:00:00+10:00,2021-04-30T12:18:35+10:00,Cancelled by System
cs_0ngaZ9fX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-07,2021-05-07T13:45:00+10:00,2021-05-07T13:06:16+10:00,Confirmed
cs_0ngbkWSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-27,2021-04-27T13:45:00+10:00,2021-04-25T12:30:21+10:00,Confirmed
cs_0ngjQatX,44160,StartSpace ,Meeting Rooms,2021-04-23,2021-04-23T11:00:00+10:00,2021-04-23T10:39:49+10:00,Cancelled by System
cs_0ngqj9SX,44006,Information Centre,Meeting Rooms,2021-04-29,2021-04-29T17:45:00+10:00,2021-04-29T14:47:03+10:00,Confirmed
cs_0ngqnWTX,47791,StartSpace ,Loft Boardroom,2021-04-29,2021-04-29T14:00:00+10:00,2021-04-29T13:20:57+10:00,Cancelled by System
cs_0nk7aBtX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-23,2021-03-23T17:45:00+11:00,2021-03-18T14:13:09+11:00,Confirmed
cs_0nkMJzHX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-07,2021-03-07T17:45:00+11:00,2021-02-28T13:16:47+11:00,Confirmed
cs_0nkV7YhX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-12,2021-03-12T17:45:00+11:00,2021-03-10T09:38:13+11:00,Confirmed
cs_0nkWvWSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-11,2021-03-11T13:45:00+11:00,2021-03-04T12:45:42+11:00,Confirmed
cs_0nkkQ9SX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-13,2021-03-13T13:45:00+11:00,2021-03-11T16:08:47+11:00,Confirmed
cs_0nkvZVtX,43476,Information Centre,Meeting Rooms,2021-03-01,2021-03-01T13:45:00+11:00,2021-03-01T12:04:28+11:00,Confirmed
cs_0nkzBVSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-04,2021-03-04T17:45:00+11:00,2021-03-02T13:52:27+11:00,Confirmed
cs_0np2zatX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-21,2022-02-21T16:00:00+11:00,2022-02-21T09:29:09+11:00,Confirmed
cs_0npodJHX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-19,2022-02-19T13:45:00+11:00,2022-02-18T11:26:11+11:00,Confirmed
cs_0npzgkhX,47791,StartSpace ,Loft Boardroom,2022-02-25,2022-02-25T12:45:00+11:00,2022-02-25T11:11:12+11:00,Confirmed
cs_1d70QQtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-27,2021-05-27T13:45:00+10:00,2021-05-26T10:20:05+10:00,Confirmed
cs_1d719JhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-26,2021-05-26T13:45:00+10:00,2021-05-24T14:21:50+10:00,Confirmed
cs_1d79yJtY,47600,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-15,2021-05-15T13:45:00+10:00,2021-05-13T10:52:44+10:00,Confirmed
cs_1d7KVJhY,44006,Information Centre,Meeting Rooms,2021-05-29,2021-05-29T11:45:00+10:00,2021-05-17T12:46:41+10:00,Cancelled by User
cs_1d7KxDtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-19,2021-05-19T13:45:00+10:00,2021-05-17T10:14:14+10:00,Confirmed
cs_1d7jlyhY,47600,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-19,2021-05-19T17:45:00+10:00,2021-05-19T16:52:21+10:00,Confirmed
cs_1d7y1KFV,44160,StartSpace ,Meeting Rooms,2021-05-19,2021-05-19T14:00:00+10:00,2021-05-19T10:47:43+10:00,Confirmed
cs_1d7y1KFV,44160,StartSpace ,Meeting Rooms,2021-05-19,2021-05-19T15:00:00+10:00,2021-05-19T10:47:43+10:00,Confirmed
cs_1d7yPlhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-26,2021-05-26T13:45:00+10:00,2021-05-19T12:12:19+10:00,Confirmed
cs_1dA0VlhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-07,2022-01-07T16:00:00+11:00,2022-01-05T15:31:38+11:00,Confirmed
cs_1dA1wvtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-10,2021-12-10T16:00:00+11:00,2021-12-10T10:53:10+11:00,Confirmed
cs_1dA2qdhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-09,2022-02-09T13:00:00+11:00,2022-02-09T10:39:08+11:00,Confirmed
cs_1dA3AWhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-30,2021-11-30T16:00:00+11:00,2021-11-26T12:24:58+11:00,Confirmed
cs_1dA3JVFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-26,2021-11-26T13:00:00+11:00,2021-11-25T15:08:36+11:00,Cancelled by User
cs_1dA3JVFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-26,2021-11-26T16:00:00+11:00,2021-11-25T15:08:36+11:00,Cancelled by User
cs_1dA3lzhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-26,2021-11-26T16:00:00+11:00,2021-11-26T10:50:16+11:00,Confirmed
cs_1dA3qyhY,43476,Information Centre,Meeting Rooms,2021-11-25,2021-11-25T17:45:00+11:00,2021-11-25T16:10:49+11:00,Confirmed
cs_1dA5JvtY,44160,StartSpace ,Meeting Rooms,2021-11-24,2021-11-24T16:45:00+11:00,2021-11-19T10:07:36+11:00,Confirmed
cs_1dA8avhY,44006,Information Centre,Meeting Rooms,2021-11-18,2021-11-18T14:45:00+11:00,2021-11-17T20:09:36+11:00,Confirmed
cs_1dAA8ohY,43476,Information Centre,Meeting Rooms,2022-02-06,2022-02-06T12:45:00+11:00,2022-02-03T14:19:47+11:00,Cancelled by User
cs_1dABxDtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-17,2021-11-17T13:00:00+11:00,2021-11-15T10:35:12+11:00,Confirmed
cs_1dADKNtY,44007,Information Centre,Meeting Rooms,2022-01-25,2022-01-25T14:45:00+11:00,2022-01-24T15:35:45+11:00,Confirmed
cs_1dADnztY,43476,Information Centre,Meeting Rooms,2022-02-04,2022-02-04T15:45:00+11:00,2022-01-25T02:34:54+11:00,Confirmed
cs_1dAJadtY,43852,Information Centre,Meeting Rooms,2021-12-08,2021-12-08T17:45:00+11:00,2021-12-08T15:56:54+11:00,Confirmed
cs_1dAJzdtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-13,2021-12-13T13:00:00+11:00,2021-12-09T10:13:54+11:00,Confirmed
cs_1dAMYDtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-14,2021-11-14T17:45:00+11:00,2021-11-14T14:24:57+11:00,Confirmed
cs_1dAN9piV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-22,2021-12-22T13:00:00+11:00,2021-12-17T15:39:46+11:00,Confirmed
cs_1dAN9piV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-22,2021-12-22T13:00:00+11:00,2021-12-17T15:39:46+11:00,Confirmed
cs_1dANPNtY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-24,2021-12-24T16:00:00+11:00,2021-12-22T16:12:09+11:00,Confirmed
cs_1dAOaltY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-27,2022-01-27T13:00:00+11:00,2022-01-25T16:02:32+11:00,Confirmed
cs_1dAPXNhY,43476,Information Centre,Meeting Rooms,2022-01-27,2022-01-27T16:45:00+11:00,2022-01-27T16:22:24+11:00,Confirmed
cs_1dAR6pFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-11,2022-02-11T13:00:00+11:00,2022-02-08T10:36:45+11:00,Confirmed
cs_1dAR6pFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-11,2022-02-11T16:00:00+11:00,2022-02-08T10:36:45+11:00,Confirmed
cs_1dAR7yhY,43852,Information Centre,Meeting Rooms,2022-02-08,2022-02-08T13:45:00+11:00,2022-02-08T12:03:03+11:00,Confirmed
cs_1dAVjKFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-18,2022-02-18T13:00:00+11:00,2022-02-10T12:08:18+11:00,Confirmed
cs_1dAVjKFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-18,2022-02-18T16:00:00+11:00,2022-02-10T12:08:18+11:00,Confirmed
cs_1dAVmdhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-15,2022-02-15T13:00:00+11:00,2022-02-10T15:58:27+11:00,Confirmed
cs_1dAWKDhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-17,2021-11-17T16:00:00+11:00,2021-11-16T15:59:29+11:00,Confirmed
cs_1dAZVNhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-04,2021-12-04T17:45:00+11:00,2021-12-02T15:27:31+11:00,Confirmed
cs_1dAadyhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-30,2021-11-30T16:00:00+11:00,2021-11-26T17:41:20+11:00,Confirmed
cs_1dAd2lhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-19,2021-11-19T16:00:00+11:00,2021-11-12T15:56:55+11:00,Confirmed
cs_1dAmXdhY,44006,Information Centre,Meeting Rooms,2022-01-19,2022-01-19T13:45:00+11:00,2022-01-18T14:09:01+11:00,Confirmed
cs_1dAnWohY,44006,Information Centre,Meeting Rooms,2021-12-03,2021-12-03T14:45:00+11:00,2021-12-03T09:42:54+11:00,Confirmed
cs_1dAnmdhY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-12-05,2021-12-05T17:45:00+11:00,2021-12-05T10:32:55+11:00,Confirmed
cs_1dAo9pFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-17,2022-01-17T13:00:00+11:00,2022-01-12T15:40:33+11:00,Confirmed
cs_1dAo9pFV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-17,2022-01-17T16:00:00+11:00,2022-01-12T15:40:33+11:00,Confirmed
cs_1dAowlhY,47267,Information Centre,Studio 2,2022-01-19,2022-01-19T15:00:00+11:00,2022-01-13T10:23:40+11:00,Confirmed
cs_1dApYzhY,43476,Information Centre,Meeting Rooms,2022-01-28,2022-01-28T11:45:00+11:00,2022-01-24T08:22:14+11:00,Confirmed
cs_1dAqgDhY,44006,Information Centre,Meeting Rooms,2021-12-18,2021-12-18T11:45:00+11:00,2021-12-16T23:45:19+11:00,Confirmed
cs_1dAvpltY,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-02-12,2022-02-12T13:45:00+11:00,2022-02-12T11:33:24+11:00,Confirmed
cs_1dAwW7iV,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-23,2021-11-23T13:00:00+11:00,2021-11-20T14:57:50+11:00,Cancelled by Admin
